timestamp,left_motor,right_motor,throttle,turn,left_trigger,right_trigger
1777995160.9304078,0.0,0.0,0.0,0.0,0.0,0.0
1777995160.9802973,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.0272555,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.072405,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.1186354,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.1673198,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.2201629,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.263411,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.3128335,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.356026,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.4116368,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.4531417,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.5052798,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.5571377,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.602159,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.6519952,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.6967015,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.7387886,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.7895055,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.854021,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.8917768,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.9376407,0.0,0.0,0.0,0.0,0.0,0.0
1777995161.984657,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.0308177,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.0778592,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.124662,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.1724865,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.2151873,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.2639787,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.3162491,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.361293,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.4101522,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.4518473,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.501684,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.5500922,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.595599,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.6489158,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.6921318,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.7425454,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.7903636,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.8387444,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.883143,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.9336593,0.0,0.0,0.0,0.0,0.0,0.0
1777995162.9818807,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.0249448,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.0760589,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.1226122,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.1749885,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.2187128,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.2626834,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.3116305,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.3978775,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.422121,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.4664376,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.514535,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.5611668,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.600414,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.6473267,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.6913197,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.7404704,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.790238,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.839908,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.8852458,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.9345205,0.0,0.0,0.0,0.0,0.0,0.0
1777995163.9809906,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.027036,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.075578,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.1228619,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.171404,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.2164512,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.2685606,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.3115358,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.3593342,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.4171858,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.4595733,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.5009687,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.5545633,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.5994465,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.6555634,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.7053537,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.7438385,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.7909594,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.8404682,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.880475,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.9471586,0.0,0.0,0.0,0.0,0.0,0.0
1777995164.999384,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.0426517,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.0788915,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.129174,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.1730497,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.2157264,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.267614,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.3113904,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.3655498,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.4102583,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.4551487,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.508682,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.5532935,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.6026149,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.649278,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.7001014,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.7457528,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.7902694,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.8373861,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.8874311,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.9424484,0.0,0.0,0.0,0.0,0.0,0.0
1777995165.9853287,0.0,0.0,0.0,0.0,0.0,0.0
1777995166.0267544,0.0,0.0,0.0,0.0,0.0,0.0
1777995166.0765648,0.0,0.0,0.0,0.0,0.0,0.0
1777995166.1239479,0.0,0.0,0.0,0.0,0.0,0.0
1777995166.1725984,0.0,0.0,0.0,0.0,0.0,0.0
